TubeNo,ShaftNo,TB1,TB2,TB3,TC1,TC2,TC3,TD1,TD2,TD3,SA1,SA2,SA3,SB1,SB2,SB3,SC1,SC2,SC3,BallGrade,BallSize
A0067885B3 171958 T0001A 200910,A0067885B3 171958 S0001A 200910,16.54,16.557,16.544,16.521,16.506,16.52,16.542,16.516,16.537,24.865,24.862,24.859,24.871,24.876,24.87,24.864,24.864,24.86,7,4.186
A0067885B3 171958 T0002A 200910,A0067885B3 171958 S0002A 200910,16.542,16.551,16.526,16.532,16.474,16.488,16.539,16.502,16.504,24.863,24.861,24.86,24.871,24.875,24.871,24.865,24.863,24.862,7,4.186
A0067885B3 171958 T0003A 200910,A0067885B3 171958 S0003A 200910,16.539,16.557,16.549,16.519,16.493,16.542,16.537,16.513,16.554,24.866,24.862,24.859,24.872,24.878,24.871,24.867,24.867,24.862,2,4.175
A0067885B3 171958 T0004A 200910,A0067885B3 171958 S0004A 200910,16.516,16.538,16.523,16.473,16.476,16.484,16.493,16.503,16.494,24.866,24.866,24.86,24.871,24.878,24.873,24.866,24.869,24.864,7,4.186
A0067885B3 171958 T0005A 200910,A0067885B3 171958 S0005A 200910,16.559,16.569,16.534,16.542,16.526,16.51,16.554,16.54,16.531,24.867,24.866,24.862,24.877,24.881,24.876,24.875,24.871,24.867,7,4.186
A0067885B3 171958 T0006A 200910,A0067885B3 171958 S0006A 200910,16.523,16.536,16.518,16.49,16.47,16.48,16.502,16.483,16.507,24.868,24.863,24.863,24.876,24.879,24.876,24.869,24.868,24.867,10,4.192
A0067885B3 171958 T0007A 200910,A0067885B3 171958 S0007A 200910,16.537,16.55,16.537,16.519,16.458,16.509,16.532,16.479,16.524,24.868,24.863,24.861,24.875,24.88,24.875,24.868,24.867,24.864,2,4.175
A0067885B3 171958 T0008A 200910,A0067885B3 171958 S0008A 200910,16.529,16.545,16.528,16.514,16.519,16.512,16.524,16.546,16.532,24.865,24.864,24.858,24.871,24.878,24.869,24.864,24.869,24.861,7,4.186
A0067885B3 171958 T0009A 200910,A0067885B3 171958 S0009A 200910,16.536,16.534,16.517,16.527,16.466,16.502,16.527,16.544,16.521,24.863,24.859,24.86,24.87,24.876,24.87,24.863,24.863,24.861,2,4.175
A0067885B3 171958 T0010A 200910,A0067885B3 171958 S0010A 200910,16.533,16.576,16.516,16.518,16.51,16.517,16.533,16.489,16.532,24.865,24.865,24.86,24.874,24.877,24.872,24.868,24.867,24.863,2,4.175
A0067885B3 171958 T0011A 200910,A0067885B3 171958 S0011A 200910,16.542,16.574,16.535,16.528,16.499,16.523,16.52,16.486,16.509,24.859,24.856,24.854,24.868,24.873,24.866,24.862,24.862,24.86,2,4.175
A0067885B3 171958 T0012A 200910,A0067885B3 171958 S0012A 200910,16.559,16.544,16.529,16.505,16.463,16.489,16.546,16.52,16.533,24.859,24.857,24.858,24.862,24.865,24.865,24.857,24.864,24.859,7,4.186
A0067885B3 171958 T0013A 200910,A0067885B3 171958 S0013A 200910,16.534,16.535,16.532,16.525,16.491,16.522,16.558,16.525,16.56,24.855,24.852,24.847,24.857,24.865,24.858,24.849,24.853,24.847,1,4.172
A0067885B3 171958 T0014A 200910,A0067885B3 171958 S0014A 200910,16.557,16.57,16.539,16.552,16.508,16.537,16.541,16.516,16.532,24.863,24.861,24.859,24.871,24.877,24.871,24.865,24.865,24.862,7,4.186
A0067885B3 171958 T0015A 200910,A0067885B3 171958 S0015A 200910,16.541,16.548,16.551,16.517,16.498,16.528,16.535,16.516,16.536,24.864,24.862,24.859,24.873,24.877,24.874,24.866,24.866,24.863,7,4.186
A0067885B3 171958 T0016A 200910,A0067885B3 171958 S0016A 200910,16.533,16.579,16.533,16.529,16.527,16.554,16.542,16.543,16.57,24.863,24.86,24.856,24.871,24.875,24.867,24.862,24.862,24.86,7,4.186
A0067885B3 171958 T0017A 200910,A0067885B3 171958 S0017A 200910,16.535,16.528,16.534,16.502,16.469,16.484,16.523,16.469,16.522,24.862,24.859,24.855,24.872,24.877,24.868,24.867,24.866,24.859,2,4.175
A0067885B3 171958 T0018A 200910,A0067885B3 171958 S0018A 200910,16.53,16.547,16.537,16.536,16.477,16.544,16.56,16.469,16.571,24.863,24.861,24.858,24.869,24.875,24.868,24.862,24.862,24.859,7,4.186
A0067885B3 171958 T0019A 200910,A0067885B3 171958 S0019A 200910,16.549,16.55,16.565,16.527,16.504,16.584,16.547,16.517,16.597,24.86,24.855,24.858,24.864,24.867,24.864,24.854,24.856,24.853,2,4.175
A0067885B3 171958 T0020A 200910,A0067885B3 171958 S0020A 200910,16.538,16.562,16.525,16.53,16.5,16.516,16.539,16.533,16.525,24.864,24.864,24.86,24.873,24.874,24.871,24.865,24.864,24.862,7,4.186
A0067885B3 171958 T0021A 200910,A0067885B3 171958 S0021A 200910,16.553,16.581,16.555,16.535,16.512,16.527,16.554,16.519,16.544,24.866,24.866,24.86,24.87,24.876,24.87,24.863,24.866,24.861,7,4.186
A0067885B3 171958 T0022A 200910,A0067885B3 171958 S0022A 200910,16.538,16.558,16.514,16.546,16.495,16.524,16.567,16.506,16.542,24.863,24.864,24.857,24.871,24.878,24.869,24.864,24.866,24.863,2,4.175
A0067885B3 171958 T0023A 200910,A0067885B3 171958 S0023A 200910,16.539,16.54,16.511,16.482,16.473,16.478,16.504,16.478,16.513,24.862,24.862,24.859,24.869,24.875,24.869,24.861,24.865,24.86,1,4.172
A0067885B3 171958 T0024A 200910,A0067885B3 171958 S0024A 200910,16.534,16.558,16.534,16.539,16.499,16.553,16.558,16.512,16.568,24.853,24.853,24.852,24.859,24.862,24.86,24.849,24.852,24.853,7,4.186
A0067885B3 171958 T0025A 200910,A0067885B3 171958 S0025A 200910,16.556,16.543,16.553,16.542,16.491,16.524,16.525,16.539,16.541,24.864,24.866,24.862,24.874,24.881,24.874,24.867,24.866,24.866,7,4.186
